Ticker
NVDA
AAPL
MSFT
VOO
SPY
PLTR
JPM
BAC
TSLA
F
SOFI
PFE
GOOGL
UBER
MARA
COIN
HOOD
RDDT
C
GE
XOM
CMG
META
